master_chemprop_input,IV
C1CC(CCC1C(=O)O)C(=O)O.O=C(O)c1cccc(C(=O)O)c1.O=C(O)c1ccc(C(O)=O)cc1.C1CC(CCC1CO)CO.CC1(C(C(C1O)(C)C)O)C.CCC(CO)(CO)CO|0.1525|0.2490|0.0985|0.2420|0.2540|0.0040|,0.313
O=C(O)c1cccc(C(=O)O)c1.O=C(O)c1ccc(C(O)=O)cc1.CC(C)(CO)CO.C1CC(CCC1CO)CO.CC1(C(C(C1O)(C)C)O)C.CCC(CO)(CO)CO|0.3515|0.1485|0.1210|0.1185|0.2550|0.0055|,0.22
C1CC(CCC1C(=O)O)C(=O)O.O=C(O)c1cccc(C(=O)O)c1.O=C(O)c1ccc(C(O)=O)cc1.C1CC(CCC1CO)CO.CC1(C(C(C1O)(C)C)O)C.CCC(CO)(CO)CO|0.1530|0.2500|0.0970|0.1940|0.3005|0.0055|,0.316
O=C(O)c1cccc(C(=O)O)c1.O=C(O)c1ccc(C(O)=O)cc1.C1CC(CCC1CO)CO.CC1(C(C(C1O)(C)C)O)C.CCC(CO)(CO)CO.CC(CO)CO|0.3520|0.1480|0.2180|0.2240|0.0055|0.0525|,0.353
C1CC(CCC1C(=O)O)C(=O)O.O=C(O)c1cccc(C(=O)O)c1.O=C(O)c1ccc(C(O)=O)cc1.C1CC(CCC1CO)CO.CC1(C(C(C1O)(C)C)O)C.CCC(CO)(CO)CO|0.1481|0.2421|0.1101|0.2426|0.2536|0.0035|,0.304
O=C(O)c1cccc(C(=O)O)c1.O=C(O)c1ccc(C(O)=O)cc1.CC(C)(CO)CO.C1CC(CCC1CO)CO.CC1(C(C(C1O)(C)C)O)C.CCC(CO)(CO)CO|0.3515|0.1485|0.1265|0.1145|0.2535|0.0055|,0.222
C1CC(CCC1C(=O)O)C(=O)O.O=C(O)c1cccc(C(=O)O)c1.O=C(O)c1ccc(C(O)=O)cc1.CC(C)(CO)CO.CC1(C(C(C1O)(C)C)O)C.CCC(CO)(CO)CO|0.1528|0.2488|0.0984|0.2937|0.2008|0.0055|,0.22
OC(=O)CCCCCCCCC(=O)O.O=C(O)c1cccc(C(=O)O)c1.O=C(O)c1ccc(C(O)=O)cc1.C1CC(CCC1CO)CO.CC1(C(C(C1O)(C)C)O)C.CCC(CO)(CO)CO|0.1555|0.2475|0.0970|0.2385|0.2570|0.0045|,0.314
C1CC(CCC1C(=O)O)C(=O)O.O=C(O)c1cccc(C(=O)O)c1.O=C(O)c1ccc(C(O)=O)cc1.CC(C)(CO)CO.CC1(C(C(C1O)(C)C)O)C.CCC(CO)(CO)CO|0.1530|0.2505|0.0965|0.2915|0.2025|0.0060|,0.254
O=C(O)c1cccc(C(=O)O)c1.O=C(O)c1ccc(C(O)=O)cc1.C1=CC2=C(C=C1C(=O)O)C(=O)OC2=O.C1CC(CCC1CO)CO.CC(CO)CO|0.3975|0.0980|0.0045|0.1870|0.3130|,0.318
C(CCC(=O)O)CC(=O)O.O=C(O)c1cccc(C(=O)O)c1.CC1(C(C(C1O)(C)C)O)C.CC(CO)CO|0.1410|0.3590|0.2715|0.2285|,0.265
C(CCC(=O)O)CC(=O)O.O=C(O)c1cccc(C(=O)O)c1.CC1(C(C(C1O)(C)C)O)C.CCC(CO)(CO)CO.CC(CO)CO|0.1425|0.3575|0.2305|0.0055|0.2640|,0.231
C(CCC(=O)O)CC(=O)O.O=C(O)c1cccc(C(=O)O)c1.CC1(C(C(C1O)(C)C)O)C.CCC(CO)(CO)CO.CC(CO)CO|0.1450|0.3550|0.2295|0.0125|0.2580|,0.24600000000000002
C(CCC(=O)O)CC(=O)O.O=C(O)c1cccc(C(=O)O)c1.CC1(C(C(C1O)(C)C)O)C.CC(CO)CO|0.1460|0.3540|0.2260|0.2740|,0.198
C(CCC(=O)O)CC(=O)O.O=C(O)c1cccc(C(=O)O)c1.CC1(C(C(C1O)(C)C)O)C.CC(CO)CO|0.1460|0.3540|0.2235|0.2765|,0.19899999999999998
C(CCC(=O)O)CC(=O)O.O=C(O)c1cccc(C(=O)O)c1.CC1(C(C(C1O)(C)C)O)C.CCC(CO)(CO)CO.CC(CO)CO|0.1430|0.3570|0.2325|0.0125|0.2550|,0.569
