master_chemprop_input,IV
O=C(O)c1cccc(C(=O)O)c1.O=C(O)c1ccc(C(O)=O)cc1.C1CC(CCC1CO)CO.CC1(C(C(C1O)(C)C)O)C|0.4230|0.0770|0.2845|0.2155|,0.251
O=C(O)c1cccc(C(=O)O)c1.O=C(O)c1ccc(C(O)=O)cc1.C1CC(CCC1CO)CO.CC1(C(C(C1O)(C)C)O)C|0.4230|0.0770|0.2910|0.2090|,0.17600000000000002
O=C(O)c1cccc(C(=O)O)c1.O=C(O)c1ccc(C(O)=O)cc1.C1CC(CCC1CO)CO.CC1(C(C(C1O)(C)C)O)C|0.4237|0.0765|0.2956|0.2041|,0.23
O=C(O)c1cccc(C(=O)O)c1.O=C(O)c1ccc(C(O)=O)cc1.C1CC(CCC1CO)CO.CC1(C(C(C1O)(C)C)O)C|0.4234|0.0771|0.2773|0.2222|,0.258
O=C(O)c1cccc(C(=O)O)c1.O=C(O)c1ccc(C(O)=O)cc1.C1CC(CCC1CO)CO.CC1(C(C(C1O)(C)C)O)C|0.4290|0.0710|0.2720|0.2280|,0.365
O=C(O)c1cccc(C(=O)O)c1.O=C(O)c1ccc(C(O)=O)cc1.C1CC(CCC1CO)CO.CC1(C(C(C1O)(C)C)O)C|0.4054|0.0951|0.2883|0.2112|,0.608
O=C(O)c1cccc(C(=O)O)c1.O=C(O)c1ccc(C(O)=O)cc1.C1CC(CCC1CO)CO.CC1(C(C(C1O)(C)C)O)C|0.4200|0.0800|0.2895|0.2105|,0.512
O=C(O)c1cccc(C(=O)O)c1.O=C(O)c1ccc(C(O)=O)cc1.C1CC(CCC1CO)CO.CC1(C(C(C1O)(C)C)O)C|0.4234|0.0771|0.2858|0.2137|,0.22399999999999998
O=C(O)c1cccc(C(=O)O)c1.O=C(O)c1ccc(C(O)=O)cc1.C1CC(CCC1CO)CO.CC1(C(C(C1O)(C)C)O)C|0.4234|0.0771|0.2893|0.2102|,0.27
O=C(O)c1cccc(C(=O)O)c1.O=C(O)c1ccc(C(O)=O)cc1.C1CC(CCC1CO)CO.CC1(C(C(C1O)(C)C)O)C|0.4247|0.0755|0.2941|0.2056|,0.298
O=C(O)c1cccc(C(=O)O)c1.O=C(O)c1ccc(C(O)=O)cc1.C1CC(CCC1CO)CO.CC1(C(C(C1O)(C)C)O)C|0.4232|0.0770|0.2806|0.2191|,0.191
O=C(O)c1cccc(C(=O)O)c1.O=C(O)c1ccc(C(O)=O)cc1.C1CC(CCC1CO)CO.CC1(C(C(C1O)(C)C)O)C|0.4247|0.0755|0.2886|0.2111|,0.268
O=C(O)c1cccc(C(=O)O)c1.O=C(O)c1ccc(C(O)=O)cc1.C1CC(CCC1CO)CO.CC1(C(C(C1O)(C)C)O)C|0.4234|0.0771|0.2913|0.2082|,0.348
O=C(O)c1cccc(C(=O)O)c1.O=C(O)c1ccc(C(O)=O)cc1.C1CC(CCC1CO)CO.CC1(C(C(C1O)(C)C)O)C|0.4234|0.0771|0.2923|0.2072|,0.425
O=C(O)c1cccc(C(=O)O)c1.O=C(O)c1ccc(C(O)=O)cc1.C1CC(CCC1CO)CO.CC1(C(C(C1O)(C)C)O)C|0.4237|0.0765|0.2811|0.2186|,0.23399999999999999
O=C(O)c1cccc(C(=O)O)c1.O=C(O)c1ccc(C(O)=O)cc1.C1CC(CCC1CO)CO.CC1(C(C(C1O)(C)C)O)C|0.4234|0.0771|0.2863|0.2132|,0.257
O=C(O)c1cccc(C(=O)O)c1.O=C(O)c1ccc(C(O)=O)cc1.C1CC(CCC1CO)CO.CC1(C(C(C1O)(C)C)O)C|0.4232|0.0770|0.2771|0.2226|,0.213
O=C(O)c1cccc(C(=O)O)c1.O=C(O)c1ccc(C(O)=O)cc1.C1CC(CCC1CO)CO.CC1(C(C(C1O)(C)C)O)C|0.4232|0.0770|0.2796|0.2201|,0.233
O=C(O)c1cccc(C(=O)O)c1.O=C(O)c1ccc(C(O)=O)cc1.C1CC(CCC1CO)CO.CC1(C(C(C1O)(C)C)O)C|0.4232|0.0770|0.2811|0.2186|,0.23399999999999999
O=C(O)c1cccc(C(=O)O)c1.O=C(O)c1ccc(C(O)=O)cc1.C1CC(CC(C1)CO)CO.CC1(C(C(C1O)(C)C)O)C|0.4239|0.0766|0.2798|0.2197|,0.217
O=C(O)c1cccc(C(=O)O)c1.O=C(O)c1ccc(C(O)=O)cc1.C1CC(CC(C1)CO)CO.CC1(C(C(C1O)(C)C)O)C|0.4244|0.0761|0.2748|0.2247|,0.221
O=C(O)c1cccc(C(=O)O)c1.O=C(O)c1ccc(C(O)=O)cc1.C1CC(CC(C1)CO)CO.CC1(C(C(C1O)(C)C)O)C|0.4234|0.0771|0.2728|0.2267|,0.20199999999999999
O=C(O)c1cccc(C(=O)O)c1.O=C(O)c1ccc(C(O)=O)cc1.C1CC(CC(C1)CO)CO.CC1(C(C(C1O)(C)C)O)C|0.4217|0.0785|0.2876|0.2121|,0.245
O=C(O)c1cccc(C(=O)O)c1.O=C(O)c1ccc(C(O)=O)cc1.C1CC(CC(C1)CO)CO.CC1(C(C(C1O)(C)C)O)C|0.4232|0.0770|0.2736|0.2261|,0.215
O=C(O)c1cccc(C(=O)O)c1.O=C(O)c1ccc(C(O)=O)cc1.C1CC(CC(C1)CO)CO.CC1(C(C(C1O)(C)C)O)C|0.4232|0.0770|0.2746|0.2251|,0.222
O=C(O)c1cccc(C(=O)O)c1.O=C(O)c1ccc(C(O)=O)cc1.C1CC(CC(C1)CO)CO.CC1(C(C(C1O)(C)C)O)C|0.4217|0.0785|0.2751|0.2246|,0.217
O=C(O)c1cccc(C(=O)O)c1.O=C(O)c1ccc(C(O)=O)cc1.C1CC(CC(C1)CO)CO.CC1(C(C(C1O)(C)C)O)C|0.4227|0.0775|0.2746|0.2251|,0.217
O=C(O)c1cccc(C(=O)O)c1.O=C(O)c1ccc(C(O)=O)cc1.C1CC(CCC1CO)CO.CC1(C(C(C1O)(C)C)O)C|0.4250|0.0750|0.3000|0.2000|,0.28800000000000003
O=C(O)c1cccc(C(=O)O)c1.O=C(O)c1ccc(C(O)=O)cc1.C1CC(CCC1CO)CO.CC1(C(C(C1O)(C)C)O)C|0.4250|0.0750|0.3000|0.2000|,0.302
O=C(O)c1cccc(C(=O)O)c1.O=C(O)c1ccc(C(O)=O)cc1.C1CC(CCC1CO)CO.CC1(C(C(C1O)(C)C)O)C|0.4250|0.0750|0.3000|0.2000|,0.29
O=C(O)c1cccc(C(=O)O)c1.O=C(O)c1ccc(C(O)=O)cc1.C1CC(CCC1CO)CO.CC1(C(C(C1O)(C)C)O)C|0.4250|0.0750|0.3000|0.2000|,0.306
O=C(O)c1cccc(C(=O)O)c1.O=C(O)c1ccc(C(O)=O)cc1.C1CC(CCC1CO)CO.CC1(C(C(C1O)(C)C)O)C|0.4250|0.0750|0.3000|0.2000|,0.2965
OC(=O)CCCCCCCCC(=O)O.C1CC(CC(C1)CO)CO|0.5000|0.5000|,0.36200000000000004
OC(=O)CCCCCCCCC(=O)O.C1CC(CC(C1)CO)CO|0.5000|0.5000|,0.435
OC(=O)CCCCCCCCC(=O)O.C1CC(CC(C1)CO)CO|0.5000|0.5000|,0.456
OC(=O)CCCCCCCCC(=O)O.C1CC(CC(C1)CO)CO|0.5000|0.5000|,0.23199999999999998
OC(=O)CCCCCCCCC(=O)O.C1CC(CCC1CO)CO|0.5000|0.5000|,0.6920000000000001
OC(=O)CCCCCCCCC(=O)O.C1CC(CCC1CO)CO|0.5000|0.5000|,0.5379999999999999
OC(=O)CCCCCCCCC(=O)O.C1CC(CCC1CO)CO|0.5000|0.5000|,0.369
OC(=O)CCCCCCCCC(=O)O.C1CC(CCC1CO)CO|0.5000|0.5000|,0.251
O=C(O)c1cccc(C(=O)O)c1.C1CC(CCC1CO)CO.CC(CO)CO|0.5000|0.2005|0.2995|,0.22899999999999998
O=C(O)c1cccc(C(=O)O)c1.C1CC(CCC1CO)CO.CC(CO)CO|0.5000|0.2040|0.2960|,0.256
O=C(O)c1cccc(C(=O)O)c1.C1CC(CCC1CO)CO.CC(CO)CO|0.5000|0.2085|0.2915|,0.306
O=C(O)c1cccc(C(=O)O)c1.C1CC(CCC1CO)CO.CC(CO)CO|0.5000|0.2035|0.2965|,0.39799999999999996
O=C(O)c1cccc(C(=O)O)c1.C1CC(CCC1CO)CO.CCC(CO)(CO)CO.CC(CO)CO|0.5000|0.1990|0.0095|0.2915|,0.264
O=C(O)c1cccc(C(=O)O)c1.C1CC(CCC1CO)CO.CCC(CO)(CO)CO.CC(CO)CO|0.5000|0.1980|0.0090|0.2930|,0.295
O=C(O)c1cccc(C(=O)O)c1.C1CC(CCC1CO)CO.CCC(CO)(CO)CO.CC(CO)CO|0.5000|0.1990|0.0090|0.2920|,0.41700000000000004
O=C(O)c1cccc(C(=O)O)c1.C1CC(CCC1CO)CO.CCC(CO)(CO)CO.CC(CO)CO|0.5000|0.1990|0.0090|0.2920|,0.8029999999999999
O=C(O)c1cccc(C(=O)O)c1.C1CC(CCC1CO)CO.CCC(CO)(CO)CO.CC(CO)CO|0.5000|0.1900|0.0195|0.2905|,0.203
O=C(O)c1cccc(C(=O)O)c1.C1CC(CCC1CO)CO.CCC(CO)(CO)CO.CC(CO)CO|0.4998|0.1944|0.0200|0.2859|,0.26
O=C(O)c1cccc(C(=O)O)c1.C1CC(CCC1CO)CO.CCC(CO)(CO)CO.CC(CO)CO|0.5003|0.1931|0.0185|0.2881|,0.385
O=C(O)c1cccc(C(=O)O)c1.C1CC(CCC1CO)CO.CCC(CO)(CO)CO.CC(CO)CO|0.5000|0.1935|0.0195|0.2870|,0.8029999999999999
O=C(O)c1cccc(C(=O)O)c1.C1CC(CCC1CO)CO.CCC(CO)(CO)CO.CC(CO)CO|0.5000|0.1830|0.0410|0.2760|,0.23199999999999998
O=C(O)c1cccc(C(=O)O)c1.C1CC(CCC1CO)CO.CCC(CO)(CO)CO.CC(CO)CO|0.5003|0.1816|0.0415|0.2766|,0.457
O=C(O)c1cccc(C(=O)O)c1.O=C(O)c1ccc(C(O)=O)cc1.C1CC(CCC1CO)CO.CCC(CO)(CO)CO.CC(CO)CO|0.4295|0.0705|0.1935|0.0195|0.2870|,0.424
O=C(O)c1cccc(C(=O)O)c1.O=C(O)c1ccc(C(O)=O)cc1.C1CC(CCC1CO)CO.CCC(CO)(CO)CO.CC(CO)CO|0.4400|0.0600|0.1930|0.0200|0.2870|,0.594
O=C(O)c1cccc(C(=O)O)c1.O=C(O)c1ccc(C(O)=O)cc1.C1CC(CCC1CO)CO.CCC(CO)(CO)CO.CC(CO)CO|0.4325|0.0675|0.1945|0.0200|0.2855|,0.757
C(CCC(=O)O)CC(=O)O.O=C(O)c1cccc(C(=O)O)c1.C1CC(CCC1CO)CO.CCC(CO)(CO)CO.CC(CO)CO|0.0705|0.4293|0.1934|0.0205|0.2864|,0.539
C(CCC(=O)O)CC(=O)O.O=C(O)c1cccc(C(=O)O)c1.C1CC(CCC1CO)CO.CCC(CO)(CO)CO.CC(CO)CO|0.0715|0.4285|0.1935|0.0190|0.2875|,0.551
C(CCC(=O)O)CC(=O)O.O=C(O)c1cccc(C(=O)O)c1.C1CC(CCC1CO)CO.CCC(CO)(CO)CO.CC(CO)CO|0.0710|0.4288|0.1934|0.0200|0.2869|,1.091
OC(=O)CCCCCCCCC(=O)O.O=C(O)c1cccc(C(=O)O)c1.C1CC(CCC1CO)CO.CCC(CO)(CO)CO.CC(CO)CO|0.0800|0.4200|0.1950|0.0180|0.2870|,0.5710000000000001
OC(=O)CCCCCCCCC(=O)O.O=C(O)c1cccc(C(=O)O)c1.C1CC(CCC1CO)CO.CCC(CO)(CO)CO.CC(CO)CO|0.0800|0.4200|0.1965|0.0180|0.2855|,0.513
O=C(O)c1cccc(C(=O)O)c1.C1CC(CCC1CO)CO.CC1(C(C(C1O)(C)C)O)C.CCC(CO)(CO)CO.CC(CO)CO|0.5000|0.1420|0.0985|0.0180|0.2415|,0.17
O=C(O)c1cccc(C(=O)O)c1.C1CC(CCC1CO)CO.CC1(C(C(C1O)(C)C)O)C.CCC(CO)(CO)CO.CC(CO)CO|0.5000|0.1430|0.0970|0.0170|0.2430|,0.221
O=C(O)c1cccc(C(=O)O)c1.C1CC(CCC1CO)CO.CC1(C(C(C1O)(C)C)O)C.CCC(CO)(CO)CO.CC(CO)CO|0.5000|0.1415|0.0960|0.0170|0.2455|,0.24100000000000002
O=C(O)c1cccc(C(=O)O)c1.C1CC(CCC1CO)CO.CC1(C(C(C1O)(C)C)O)C.CCC(CO)(CO)CO.CC(CO)CO|0.5000|0.1445|0.0960|0.0165|0.2430|,0.306
O=C(O)c1ccc(C(O)=O)cc1.OCCO|0.5000|0.5000|,0.47600000000000003
O=C(O)c1ccc(C(O)=O)cc1.OCCCO|0.5000|0.5000|,0.84
O=C(O)c1ccc(C(O)=O)cc1.OCCCCO|0.5000|0.5000|,0.769
O=C(O)c1ccc(C(O)=O)cc1.OCCCCCCO|0.5000|0.5000|,0.8079999999999999
O=C(O)c1ccc(C(O)=O)cc1.CC(C)(CO)CO|0.5000|0.5000|,0.9670000000000001
O=C(O)c1ccc(C(O)=O)cc1.C1CC(CCC1CO)CO|0.5000|0.5000|,0.8059999999999999
O=C(O)c1ccc(C(O)=O)cc1.C1CC(CC(C1)CO)CO|0.5000|0.5000|,0.6940000000000001
O=C(O)c1ccc(C(O)=O)cc1.CC1(C(C(C1O)(C)C)O)C|0.5000|0.5000|,0.513
O=C(O)c1ccc(C(O)=O)cc1.OCCOCCO|0.5000|0.5000|,0.645
O=C(O)c1cccc(C(=O)O)c1.OCCO|0.5000|0.5000|,0.821
O=C(O)c1cccc(C(=O)O)c1.OCCCO|0.5000|0.5000|,0.256
O=C(O)c1cccc(C(=O)O)c1.OCCCCO|0.5000|0.5000|,0.773
O=C(O)c1cccc(C(=O)O)c1.OCCCCCCO|0.5000|0.5000|,0.7490000000000001
O=C(O)c1cccc(C(=O)O)c1.CC(C)(CO)CO|0.5000|0.5000|,0.706
O=C(O)c1cccc(C(=O)O)c1.C1CC(CCC1CO)CO|0.5000|0.5000|,0.6559999999999999
O=C(O)c1cccc(C(=O)O)c1.C1CC(CC(C1)CO)CO|0.5000|0.5000|,0.601
O=C(O)c1cccc(C(=O)O)c1.CC1(C(C(C1O)(C)C)O)C|0.5000|0.5000|,0.43700000000000006
O=C(O)c1cccc(C(=O)O)c1.OCCOCCO|0.5000|0.5000|,0.716
OC(=O)c1ccccc1C(=O)O.OCCO|0.5000|0.5000|,0.13699999999999998
OC(=O)c1ccccc1C(=O)O.OCCCO|0.5000|0.5000|,0.139
OC(=O)c1ccccc1C(=O)O.OCCCCO|0.5000|0.5000|,0.096
OC(=O)c1ccccc1C(=O)O.OCCCCCCO|0.5000|0.5000|,0.478
OC(=O)c1ccccc1C(=O)O.CC(C)(CO)CO|0.5000|0.5000|,0.133
OC(=O)c1ccccc1C(=O)O.C1CC(CCC1CO)CO|0.5000|0.5000|,0.419
OC(=O)c1ccccc1C(=O)O.C1CC(CC(C1)CO)CO|0.5000|0.5000|,0.272
OC(=O)c1ccccc1C(=O)O.CC1(C(C(C1O)(C)C)O)C|0.5000|0.5000|,0.127
OC(=O)c1ccccc1C(=O)O.OCCOCCO|0.5000|0.5000|,0.259
C1CC(CCC1C(=O)O)C(=O)O.OCCO|0.5000|0.5000|,0.581
C1CC(CCC1C(=O)O)C(=O)O.OCCCO|0.5000|0.5000|,0.504
C1CC(CCC1C(=O)O)C(=O)O.OCCCCO|0.5000|0.5000|,0.614
C1CC(CCC1C(=O)O)C(=O)O.OCCCCCCO|0.5000|0.5000|,0.6509999999999999
C1CC(CCC1C(=O)O)C(=O)O.CC(C)(CO)CO|0.5000|0.5000|,0.643
C1CC(CCC1C(=O)O)C(=O)O.C1CC(CCC1CO)CO|0.5000|0.5000|,0.636
C1CC(CCC1C(=O)O)C(=O)O.C1CC(CC(C1)CO)CO|0.5000|0.5000|,0.649
C1CC(CCC1C(=O)O)C(=O)O.CC1(C(C(C1O)(C)C)O)C|0.5000|0.5000|,0.171
C1CC(CCC1C(=O)O)C(=O)O.OCCOCCO|0.5000|0.5000|,0.503
C1CC(CC(C1)C(=O)O)C(=O)O.OCCO|0.5000|0.5000|,0.746
C1CC(CC(C1)C(=O)O)C(=O)O.OCCCO|0.5000|0.5000|,0.6729999999999999
C1CC(CC(C1)C(=O)O)C(=O)O.OCCCCO|0.5000|0.5000|,0.93
C1CC(CC(C1)C(=O)O)C(=O)O.OCCCCCCO|0.5000|0.5000|,0.782
C1CC(CC(C1)C(=O)O)C(=O)O.CC(C)(CO)CO|0.5000|0.5000|,0.912
C1CC(CC(C1)C(=O)O)C(=O)O.C1CC(CCC1CO)CO|0.5000|0.5000|,0.63
C1CC(CC(C1)C(=O)O)C(=O)O.C1CC(CC(C1)CO)CO|0.5000|0.5000|,0.65
C1CC(CC(C1)C(=O)O)C(=O)O.CC1(C(C(C1O)(C)C)O)C|0.5000|0.5000|,0.23800000000000002
C1CC(CC(C1)C(=O)O)C(=O)O.OCCOCCO|0.5000|0.5000|,0.507
C1CCC(C(C1)C(=O)O)C(=O)O.OCCO|0.5000|0.5000|,0.619
C1CCC(C(C1)C(=O)O)C(=O)O.OCCCO|0.5000|0.5000|,0.664
C1CCC(C(C1)C(=O)O)C(=O)O.OCCCCO|0.5000|0.5000|,0.607
C1CCC(C(C1)C(=O)O)C(=O)O.OCCCCCCO|0.5000|0.5000|,0.615
C1CCC(C(C1)C(=O)O)C(=O)O.CC(C)(CO)CO|0.5000|0.5000|,0.183
C1CCC(C(C1)C(=O)O)C(=O)O.C1CC(CCC1CO)CO|0.5000|0.5000|,0.35700000000000004
C1CCC(C(C1)C(=O)O)C(=O)O.C1CC(CC(C1)CO)CO|0.5000|0.5000|,0.287
C1CCC(C(C1)C(=O)O)C(=O)O.CC1(C(C(C1O)(C)C)O)C|0.5000|0.5000|,0.078
C1CCC(C(C1)C(=O)O)C(=O)O.OCCOCCO|0.5000|0.5000|,1.6
C(CCC(=O)O)CC(=O)O.OCCO|0.5000|0.5000|,0.67
C(CCC(=O)O)CC(=O)O.OCCCO|0.5000|0.5000|,0.504
C(CCC(=O)O)CC(=O)O.OCCCCO|0.5000|0.5000|,0.789
C(CCC(=O)O)CC(=O)O.OCCCCCCO|0.5000|0.5000|,0.8
C(CCC(=O)O)CC(=O)O.CC(C)(CO)CO|0.5000|0.5000|,0.584
C(CCC(=O)O)CC(=O)O.C1CC(CCC1CO)CO|0.5000|0.5000|,0.5870000000000001
C(CCC(=O)O)CC(=O)O.C1CC(CC(C1)CO)CO|0.5000|0.5000|,0.5379999999999999
C(CCC(=O)O)CC(=O)O.CC1(C(C(C1O)(C)C)O)C|0.5000|0.5000|,0.35700000000000004
C(CCC(=O)O)CC(=O)O.OCCOCCO|0.5000|0.5000|,0.5479999999999999
