,Resin#,Reactor,Reaction Solvent,AN,OHN,OHN (primary),OHN (secondary),IV,IV - Intrinsic,Tg,Tg∞ (°C),Cyclic Oligomer (%),Mn (PS),Mw (PS),Mz (PS),PDI (PS),Mn (abs),Mw (abs),Mz (abs),PDI (abs),%SA,%ADP,%DDDA,%AZL,"%1,4-CHDA","%1,4-CHDA (95% trans)","%1,3-CHDA","%1,2-CHDA",%HHPA,%PA,%IPA,%TPA,%TMA,%Total Acid,%EG,%DEG,"%1,3-PROP","%1,4-BUT",%HDO,%NPG,"%1,4-CHDM","%1,3-CHDM",%TMCD,%TMP,%MPD,%TCDDM,%Total Glycol,End,uncertainty,abs_error
248,C16,,,,,,,0.601,,78.0,82.0,0.26,15710.0,50035.0,84468.0,3.185,,,,,,,,,,,,,,,100.0,,,100.0,,,,,,,,100.0,,,,,100.0,,0.015156382694840431,0.2693204879760742
239,C7,,,,,,,0.6940000000000001,,82.0,85.0,7.23,8697.0,70939.0,121653.0,8.157,,,,,,,,,,,,,,,,100.0,,100.0,,,,,,,,100.0,,,,,100.0,,0.015228500589728355,0.11055541038513184
225,Resin 7a,Rig,Neat,5.3,15.1,,,0.5710000000000001,0.593,30.21,,,7951.0,116309.0,601673.0,14.628,4774.0,34087.0,127298.0,7.14,16.0,,,,,,,,,,84.0,,,100.0,,,,,,,39.0,,,3.6,57.4,,100.0,,0.0171790923923254,0.017200946807861328
288,C56,,,,,,,0.504,,-57.0,-56.0,0.07,10406.0,30209.0,52615.0,2.903,,,,,,100.0,,,,,,,,,,,,100.0,,,100.0,,,,,,,,,,100.0,,0.017540032044053078,0.02092379331588745
279,C47,,,,,,,0.664,,4.0,5.0,4.82,6702.0,118041.0,747276.0,17.61,,,,,,,,,,,,100.0,,,,,,100.0,,,100.0,,,,,,,,,,100.0,,0.018283573910593987,0.08374345302581787
59,63,Kettle,A150ND,1.8,18.0,5,12,0.282,0.287,78.04,,,11586.0,29554.0,54057.0,2.551,,,,,,,,,,,,,,,85.0,15.0,,100.0,,,,,,,,,50.0,2.0,48.0,,100.0,,0.018343456089496613,0.06408745050430298
263,C31,,,,,,,0.6509999999999999,,-28.0,-27.0,2.23,10130.0,46638.0,81184.0,4.604,,,,,,,,,100.0,,,,,,,,,100.0,,,,,100.0,,,,,,,,100.0,,0.01959109678864479,0.1050499677658081
270,C38,,,,,,,0.6729999999999999,,-3.0,-2.0,0.21,15073.0,68358.0,178310.0,4.535,,,,,,,,,,,100.0,,,,,,,100.0,,,100.0,,,,,,,,,,100.0,,0.019887138158082962,0.03785133361816406
69,73,Kettle,A150ND,1.05,,,,0.314,0.321,45.99,,,11881.0,28564.0,49556.0,2.4,,,,,31.1,,,,,,,,,,49.5,19.4,,100.0,,,,,,,47.7,,51.4,0.9,,,100.0,,0.020745834335684776,0.018997550010681152
88,92,Kettle,A150ND,2.6,16.0,5,10,0.45299999999999996,0.467,36.3,,,14223.0,46627.0,103288.0,3.278,,,,,,29.1,,,,,,,,,70.9,,,100.0,,,,,,,,,45.1,1.1,54.2,,100.0,,0.02097782865166664,0.06333762407302856
