Resin#,Reactor,Reaction Solvent,AN,OHN,OHN (primary),OHN (secondary),IV,IV - Intrinsic,Tg,Tg∞ (°C),Cyclic Oligomer (%),Mn (PS),Mw (PS),Mz (PS),PDI (PS),Mn (abs),Mw (abs),Mz (abs),PDI (abs),%SA,%ADP,%DDDA,%AZL,"%1,4-CHDA","%1,4-CHDA (95% trans)","%1,3-CHDA","%1,2-CHDA",%HHPA,%PA,%IPA,%TPA,%TMA,%Total Acid,%EG,%DEG,"%1,3-PROP","%1,4-BUT",%HDO,%NPG,"%1,4-CHDM","%1,3-CHDM",%TMCD,%TMP,%MPD,%TCDDM,%Total Glycol,End
151,Rig,Neat,25.46,24.72455474,,,0.147,0.148,,,,,,,,,,,,,,,,,,,,,,84.5,15.5,,100,,,,,,,57.7,,42.2,,,,99.9,
152,Rig,Neat,25.99,24.90016034,,,0.154,0.155,,,,,,,,,,,,,,,,,,,,,,84.6,15.4,,100,,,,,,,58.3,,41.5,,,,99.9,
153,Rig,Neat,24.99,24.69968848,,,0.159,0.161,,,,,,,,,,,,,,,,,,,,,,83.8,16.3,,100,,,,,,,58.6,,41.3,,,,99.9,
154,Rig,Neat,11.8,9.309537112,,,0.256,0.26,,,,,,,,,,,,,,,,,,,,,,84,16,,100,,,,,,,59.5,,40.3,,,,99.8,
155,Rig,Neat,8.13,10.28351818,,,0.307,0.314,,,,,,,,,,,,,,,,,,,,,,84.9,15.1,,100,,,,,,,59.5,,40.4,,,,100,
156,Rig,Neat,6.1,6.03432744,,,0.383,0.393,,,,,,,,,,,,,,,,,,,,,,84.7,15.3,,100,,,,,,,60.6,,39.4,,,,99.8,
157,Rig,Neat,3.22,4.307363748,,,0.563,0.585,,,,,,,,,,,,,,,,,,,,,,84.9,15.1,,100,,,,,,,60.2,,39.7,,,,99.7,
158,Rig,Neat,4.2,4.331859907,,,0.475,0.491,,,,,,,,,,,,,,,,,,,,,,84.4,15.6,,100,,,,,,,61,,38.7,,,,99.8,
159,Rig,Neat,5.16,6.005015206,,,0.411,0.422,,,,,,,,,,,,,,,,,,,,,,84.6,15.4,,100,,,,,,,60.3,,39.5,,,,99.8,
160,Rig,Neat,4.63,4.316456465,,,0.497,0.514,,,,,,,,,,,,,,,,,,,,,,84.7,15.3,,100,,,,,,,60.7,,39.1,,,,99.7,
161,Rig,Neat,21.13,34.41097379,,,0.136,0.137,,,,,,,,,,,,,,,,,,,,,,84.4,15.6,,100,,,,,,,56,,43.8,,,,99.6,
162,Rig,Neat,17.38,31.37452689,,,0.151,0.152,,,,,,,,,,,,,,,,,,,,,,84.6,15.4,,100,,,,,,,54.4,,45.2,,,,99.9,
163,Rig,Neat,13.08,32.83096351,,,0.163,0.165,,,,,,,,,,,,,,,,,,,,,,84.6,15.4,,100,,,,,,,55,,44.8,,,,99.7,
164,Rig,Neat,11.99,27.66887392,,,0.183,0.186,,,,,,,,,,,,,,,,,,,,,,84.4,15.6,,100,,,,,,,55.7,,44,,,,99.4,
165,Rig,Neat,36.03,47.31791145,,,0.111,0.112,,,,,,,,,,,,,,,,,,,,,,84,16,,100,,,,,,,52.4,,47,,,,99.5,
166,Rig,Neat,24.94,39.33963516,,,0.129,0.13,,,,,,,,,,,,,,,,,,,,,,84.5,15.5,,100,,,,,,,52.3,,47.2,,,,99.9,
167,Rig,Neat,1.95,15.0009744,,,0.296,0.301,,,,,,,,,,,,,,,,,,,,,,84.6,15.4,,100,,,,,,,57,,42.9,,,,99.9,
168,Rig,Neat,0.7,9.348218701,,,0.376,0.386,,,,,,,,,,,,,,,,,,,,,,84.6,15.4,,100,,,,,,,58.2,,41.7,,,,99.8,
169,Rig,Neat,0.94,7.632689544,,,0.445,0.459,,,,,,,,,,,,,,,,,,,,,,84.3,15.7,,100,,,,,,,58.8,,41,,,,100,
170,Rig,Neat,11.02,29.18827165,,,0.184,0.187,,,,,,,,,,,,,,,,,,,,,,84.5,15.5,,100,,,,,,,56.1,,43.9,,,,99.9,
171,Rig,Neat,8.97,28.93275853,,,0.197,0.199,,,,,,,,,,,,,,,,,,,,,,84.2,15.8,,100,,,,,,,56.3,,43.5,,,,99.9,
172,Rig,Neat,7.56,25.14339196,,,0.205,0.208,,,,,,,,,,,,,,,,,,,,,,84.5,15.5,,100,,,,,,,55.2,,44.7,,,,99.9,
173,Rig,Neat,5.19,18.99375754,,,0.238,0.242,,,,,,,,,,,,,,,,,,,,,,84.4,15.6,,100,,,,,,,56.1,,43.7,,,,99.7,
174,Rig,Neat,38.94,43.41929128,,,0.113,0.114,,,,,,,,,,,,,,,,,,,,,,85.2,14.8,,100,,,,,,,54.7,,45,,,,99.7,
175,Rig,Neat,24.34,32.93935921,,,0.138,0.139,,,,,,,,,,,,,,,,,,,,,,84.6,15.4,,100,,,,,,,55.4,,44.4,,,,99.7,
176,Rig,Neat,20.14,27.45038619,,,0.157,0.159,,,,,,,,,,,,,,,,,,,,,,84.4,15.6,,100,,,,,,,56,,43.7,,,,99.6,
177,Rig,Neat,16.82,24.39823369,,,0.174,0.176,,,,,,,,,,,,,,,,,,,,,,84.6,15.4,,100,,,,,,,56.1,,43.5,,,,100,
178,Rig,Neat,2.92,19.04442814,,,0.254,0.258,,,,,,,,,,,,,,,,,,,,,,84.7,15.3,,100,,,,,,,55.8,,44.2,,,,100,
179,Rig,Neat,3.44,21.50671606,,,0.242,0.245,,,,,,,,,,,,,,,,,,,,,,84.9,15.1,,100,,,,,,,55.8,,44.2,,,,100,
180,Rig,Neat,3.59,21.50671606,,,0.239,0.243,,,,,,,,,,,,,,,,,,,,,,84.9,15.1,,100,,,,,,,55.8,,44.2,,,,100,
181,Rig,Neat,3.94,19.87244676,,,0.251,0.255,,,,,,,,,,,,,,,,,,,,,,84.6,15.4,,100,,,,,,,56.9,,43.1,,,,100,
182,Rig,Neat,1.48,10.95269937,,,0.176,0.178,,,,,,,,,,,,,,,,,,,,,,84.6,15.4,,100,,,,,,,58.2,,41.8,,,,99.8,
183,Rig,Neat,7.98,6.834204084,,,0.23,0.233,,,,,,,,,,,,,,,,,,,,,,84.7,15.3,,100,,,,,,,59.1,,40.8,,,,99.9,
184,Rig,Neat,5.56,32.96002159,,,0.258,0.262,,,,,,,,,,,,,,,,,,,,,,84.6,15.4,,100,,,,,,,55.4,,44.4,,,,100,
185,Rig,Neat,1.97,34.69185684,,,0.365,0.374,,,,,,,,,,,,,,,,,,,,,,85.8,14.2,,100,,,,,,,54.4,,45.6,,,,99.9,
186,Rig,Neat,1.48,16.93194574,,,0.608,0.634,,,,,,,,,,,,,,,,,,,,,,81,19,,100,,,,,,,57.6,,42.2,,,,100,
187,Rig,Neat,1.31,14.20572079,,,0.512,0.53,,,,,,,,,,,,,,,,,,,,,,84,16,,100,,,,,,,57.9,,42.1,,,,100,
192,Rig,Neat,5.56,21.15803443,,,0.224,0.228,,,,,,,,,,,,,,,,,,,,,,84.6,15.4,,100,,,,,,,57.1,,42.7,,,,99.8,
193,Rig,Neat,2.1,14.58360836,,,0.27,0.275,,,,,,,,,,,,,,,,,,,,,,84.6,15.4,,100,,,,,,,57.8,,42,,,,99.9,
194,Rig,Neat,1.23,16.06347317,,,0.298,0.304,,,,,,,,,,,,,,,,,,,,,,84.9,15.1,,100,,,,,,,58.8,,41.1,,,,0,
196,Rig,Neat,13.09,24.47792397,,,0.191,0.193,,,,,,,,,,,,,,,,,,,,,,84.6,15.4,,100,,,,,,,56.1,,43.8,,,,99.9,
197,Rig,Neat,6.23,15.99733063,,,0.268,0.273,,,,,,,,,,,,,,,,,,,,,,84.9,15.1,,100,,,,,,,57.7,,42.2,,,,99.9,
198,Rig,Neat,2.72,10.14535568,,,0.348,0.356,,,,,,,,,,,,,,,,,,,,,,84.6,15.4,,100,,,,,,,58.2,,41.6,,,,99.8,
199,Rig,Neat,1.26,9.367683284,,,0.425,0.437,,,,,,,,,,,,,,,,,,,,,,84.6,15.4,,100,,,,,,,58.4,,41.4,,,,99.9,
200,Rig,Neat,4.55,19.83959448,,,0.234,0.237,,,,,,,,,,,,,,,,,,,,,,84.7,15.3,,100,,,,,,,56.2,,43.7,,,,99.9,
201,Rig,Neat,4.56,16.701781,,,0.257,0.262,,,,,,,,,,,,,,,,,,,,,,84.6,15.4,,100,,,,,,,57.2,,42.6,,,,99.9,
202,Rig,Neat,6.67,22.93757929,,,0.213,0.216,,,,,,,,,,,,,,,,,,,,,,84.6,15.4,,100,,,,,,,55.4,,44.5,,,,99.9,
203,Rig,Neat,4.9,19.07076503,,,0.233,0.237,,,,,,,,,,,,,,,,,,,,,,84.6,15.4,,100,,,,,,,55.9,,44,,,,99.9,
204,Rig,Neat,5.17,18.5,,,0.234,,70.61,,,7897,17280,29006,2.19,,,,,,,,,,,,,,,84.6,15.4,,100,,,,,,,56.2,,43.7,,,,100,
221,Rig,Neat,6.82,20.04,,,0.217,0.22,,,,,,,,,,,,,,,,,,,,,,84.7,15.3,,100,,,,,,,,55.9,43.9,,,,99.9,
222,Rig,Neat,5.6,19.23,,,0.221,0.224,,,,,,,,,,,,,,,,,,,,,,84.8,15.2,,100,,,,,,,,54.9,44.9,,,,99.9,
223,Rig,Neat,5.46,21.51,,,0.202,0.204,,,,,,,,,,,,,,,,,,,,,,84.6,15.4,,100,,,,,,,,54.5,45.3,,,,99.9,
224,Rig,Neat,6.31,11.92,,,0.245,0.249,,,,,,,,,,,,,,,,,,,,,,84.3,15.7,,100,,,,,,,,57.5,42.4,,,,99.9,
225,Rig,Neat,5.35,17.4,,,0.215,0.218,,,,,,,,,,,,,,,,,,,,,,84.6,15.4,,100,,,,,,,,54.7,45.2,,,,99.9,
226,Rig,Neat,5.47,16.6,,,0.222,0.225,,,,,,,,,,,,,,,,,,,,,,84.6,15.4,,100,,,,,,,,54.9,45,,,,99.9,
227,Rig,Neat,5.26,17.6,,,0.217,0.22,,,,,,,,,,,,,,,,,,,,,,84.3,15.7,,100,,,,,,,,55,44.9,,,,99.9,
228,Rig,Neat,5.3,17.2,,,0.217,,78.77,,,8803,18962,30729,2.15,,,,,,,,,,,,,,,84.5,15.5,,100,,,,,,,,54.9,45,,,,100,
230,Rig,Neat,3.41,14.4,,,0.288,0.293,,,,,,,,,,,,,,,,,,,,,,85,15,,100,,,,,,,60,,40,,,,100,
231,Rig,Neat,3.75,20.7,,,0.302,0.308,,,,,,,,,,,,,,,,,,,,,,85,15,,100,,,,,,,60,,40,,,,100,
232,Rig,Neat,5.6,11.7,,,0.29,0.295,,,,,,,,,,,,,,,,,,,,,,85,15,,100,,,,,,,60,,40,,,,100,
233,Rig,Neat,2.61,14.2,,,0.306,0.313,,,,,,,,,,,,,,,,,,,,,,85,15,,100,,,,,,,60,,40,,,,100,
234,Rig,Neat,3.84,15.25,,,0.2965,0.30225,,,,,,,,,,,,,,,,,,,,,,85,15,,100,,,,,,,60,,40,,,,100,
240,Rig,Neat,14.6,9.69,,,0.362,0.371,-40.98,,,8385,21665,33883,2.584,,,,,100,,,,,,,,,,,,,100,,,,,,,,100,,,,,100,
241,Rig,Neat,9.7,6.8,,,0.435,0.447,-40.55,,,10311,27744,43487,2.691,,,,,100,,,,,,,,,,,,,100,,,,,,,,100,,,,,100,
242,Rig,Neat,2.6,7.49,,,0.456,0.47,-41.12,,,16174,46541,73754,2.878,,,,,100,,,,,,,,,,,,,100,,,,,,,,100,,,,,100,
243,Rig,Neat,0.9,5.2,,,0.232,0.236,-42.99,,,13165,34544,53986,2.624,,,,,100,,,,,,,,,,,,,100,,,,,,,,100,,,,,100,
244,Rig,Neat,0.97,1.3,,,0.692,0.726,-40.74,,,8278,20705,33318,2.501,,,,,100,,,,,,,,,,,,,100,,,,,,,100,,,,,,100,
245,Rig,Neat,0.6,3.03,,,0.538,0.558,-38.63,,,4848,11739,20061,2.421,,,,,100,,,,,,,,,,,,,100,,,,,,,100,,,,,,100,
246,Rig,Neat,0.5,4.6,,,0.369,0.378,-40.86,,,3668,7775,12242,2.12,,,,,100,,,,,,,,,,,,,100,,,,,,,100,,,,,,100,
247,Rig,Neat,0.8,9.4,,,0.251,0.255,-43.66,,,12298,35064,55339,2.851,,,,,100,,,,,,,,,,,,,100,,,,,,,100,,,,,,100,
Resin 1a,Rig,Neat,12,14.1,,,0.229,0.232,52.12,,,6217,15114,23853,2.431,3449,6561,9365,1.902,,,,,,,,,,,100,,,100,,,,,,,40.1,,,,59.9,,100,
Resin 1b,Rig,Neat,11.9,10.6,,,0.256,0.26,53.33,,,6651,17614,28643,2.648,3692,7464,10883,2.022,,,,,,,,,,,100,,,100,,,,,,,40.8,,,,59.2,,100,
Resin 1c,Rig,Neat,11.4,4.8,,,0.306,0.312,55.92,,,8940,22812,35843,2.552,4744,9328,13271,1.966,,,,,,,,,,,100,,,100,,,,,,,41.7,,,,58.3,,100,
Resin 1d,Rig,Neat,6.3,4.7,,,0.398,0.408,56.23,,,12457,33155,51900,2.662,6384,12848,18189,2.013,,,,,,,,,,,100,,,100,,,,,,,40.7,,,,59.3,,100,
Resin 2a,Rig,Neat,11.8,14.8,,,0.264,0.269,53.78,,,6941,20766,38505,2.992,3843,8514,13714,2.215,,,,,,,,,,,100,,,100,,,,,,,39.8,,,1.9,58.3,,100,
Resin 2b,Rig,Neat,11.9,12.2,,,0.295,0.301,54.49,,,7740,24860,48749,3.212,4239,9893,16610,2.334,,,,,,,,,,,100,,,100,,,,,,,39.6,,,1.8,58.6,,100,
Resin 2c,Rig,Neat,8.4,9.1,,,0.417,0.429,56.57,,,10965,44409,107497,4.05,5813,16028,31386,2.757,,,,,,,,,,,100,,,100,,,,,,,39.8,,,1.8,58.4,,100,
Resin 2d,Rig,Neat,5.6,6.3,,,0.803,0.853,59.54,,,16715,175661,834500,10.509,8695,48777,170522,5.61,,,,,,,,,,,100,,,100,,,,,,,39.8,,,1.8,58.4,,100,
Resin 3a,Rig,Neat,13.5,30.2,,,0.203,0.206,49.05,,,5162,14525,27386,2.814,2949,6269,10212,2.126,,,,,,,,,,,100,,,100,,,,,,,38,,,3.9,58.1,,100,
Resin 3b,Rig,Neat,11.3,23.1,,,0.26,0.265,52.29,,,6561,21650,44843,3.3,3669,8756,15340,2.386,,,,,,,,,,,100,,,100,,,,,,,38.9,,,4,57.2,,100,
Resin 3c,Rig,Neat,6.5,18.8,,,0.385,0.395,54.81,,,10205,45350,129448,4.444,5416,16113,36020,2.975,,,,,,,,,,,100,,,100,,,,,,,38.6,,,3.7,57.6,,100,
Resin 3d,Rig,Neat,3.8,15.3,,,0.803,0.849,57.08,,,14340,233183,1536429,16.261,7545,59672,286184,7.909,,,,,,,,,,,100,,,100,,,,,,,38.7,,,3.9,57.4,,100,
Resin 4a,Rig,Neat,8.4,43,,,0.232,0.236,48.24,,,6012,20882,48186,3.473,3385,8426,16041,2.489,,,,,,,,,,,100,,,100,,,,,,,36.6,,,8.2,55.2,,100,
Resin 4b,Rig,Neat,,,,,,,55.52,,,9035,83130,466398,9.201,4934,25428,101544,5.154,,,,,,,,,,,100,,,100,,,,,,,36.2,,,8.1,55.6,,100,
Resin 4c,Rig,Neat,4.2,33.87,,,0.457,0.471,53.51,,,10015,93552,507240,9.341,5400,28188,109594,5.22,,,,,,,,,,,100,,,100,,,,,,,36.3,,,8.3,55.3,,100,
Resin 4d,Rig,Neat,,,,,,,57.28,,,9116,81342,507308,8.923,4960,24862,106667,5.013,,,,,,,,,,,100,,,100,,,,,,,36.5,,,8.3,55.2,,100,
Resin 5a,Rig,Neat,6.3,17.5,,,0.424,0.436,56.52,,,10929,56224,184504,5.144,5811,19162,47833,3.298,,,,,,,,,,,85.9,14.1,,100,,,,,,,38.7,,,3.9,57.4,,100,
Resin 5b,Rig,Neat,4,17.6,,,0.594,0.619,57.11,,,13298,124138,654639,9.335,6969,35992,136598,5.165,,,,,,,,,,,88,12,,100,,,,,,,38.6,,,4,57.4,,100,
Resin 5c,Rig,Neat,,,,,,,58.66,,,13717,188347,1558779,13.731,7232,49454,273164,6.838,,,,,,,,,,,87.9,12.1,,100,,,,,,,38.7,,,4,57.3,,100,
Resin 5d,Rig,Neat,5.5,13.8,,,0.757,0.798,58.74,,,13773,202810,1300172,14.725,7335,53303,246445,7.267,,,,,,,,,,,86.5,13.5,,100,,,,,,,38.9,,,4,57.1,,100,
Resin 6a,Rig,Neat,4.6,17.95,,,0.539,0.559,37.17,,,10818,97437,447888,9.007,5944,29665,99692,4.991,,14.1,,,,,,,,,85.9,,,100,,,,,,,38.7,,,4.1,57.3,,100,
Resin 6b,Rig,Neat,3.8,17.6,,,0.551,0.572,37.26,,,9626,111316,587195,11.564,5510,32843,123859,5.961,,14.3,,,,,,,,,85.7,,,100,,,,,,,38.7,,,3.8,57.5,,100,
Resin 6c,Rig,Neat,,,,,,,38.12,,,18938,161063,579802,8.505,9895,46459,127844,4.695,,14.2,,,,,,,,,85.8,,,100,,,,,,,38.7,,,3.9,57.4,,100,
Resin 6d,Rig,Neat,2.5,16.82,,,1.091,1.181,37.97,,,10182,299226,2488728,29.388,5936,71757,429919,12.09,,14.2,,,,,,,,,85.8,,,100,,,,,,,38.7,,,4,57.4,,100,
Resin 7a,Rig,Neat,5.3,15.1,,,0.571,0.593,30.21,,,7951,116309,601673,14.628,4774,34087,127298,7.14,16,,,,,,,,,,84,,,100,,,,,,,39,,,3.6,57.4,,100,
Resin 7b,Rig,Neat,7.1,14.7,,,0.513,0.531,29.5,,,10603,94705,441385,8.932,5814,28951,97912,4.98,16,,,,,,,,,,84,,,100,,,,,,,39.3,,,3.6,57.1,,100,
Resin 7c,Rig,Neat,,,,,,,31.41,,,10833,144991,1220723,13.384,5952,39656,220187,6.663,16.1,,,,,,,,,,83.9,,,100,,,,,,,39.1,,,3.3,57.5,,100,
Resin 7d,Rig,Neat,,,,,,,32.41,,,10889,149190,1261214,13.701,5991,40706,224265,6.795,16.3,,,,,,,,,,83.7,,,100,,,,,,,38.6,,,4,57.4,,100,
Resin 8a,Rig,Neat,14.6,34.21,,,0.17,0.172,57.71,,,4014,11470,22130,2.857,2373,5113,8497,2.155,,,,,,,,,,,100,,,100,,,,,,,28.4,,19.7,3.6,48.3,,100,
Resin 8b,Rig,Neat,10.9,26.3,,,0.221,0.225,60.4,,,5338,18652,39763,3.494,3084,7688,13816,2.493,,,,,,,,,,,100,,,100,,,,,,,28.6,,19.4,3.4,48.6,,100,
Resin 8c,Rig,Neat,8.3,26.87,,,0.241,0.244,61.57,,,6338,22108,48858,3.488,3562,8871,16356,2.49,,,,,,,,,,,100,,,100,,,,,,,28.3,,19.2,3.4,49.1,,100,
Resin 8d,Rig,Neat,6,21.88,,,0.306,0.312,63.89,,,7930,34692,92882,4.375,4372,12861,27478,2.942,,,,,,,,,,,100,,,100,,,,,,,28.9,,19.2,3.3,48.6,,100,
C1,,,,,,,0.476,,78,83,0.71,18776,47381,74116,2.523,,,,,,,,,,,,,,,,100,,100,100,,,,,,,,,,,,100,
C2,,,,,,,0.84,,45,54,1.05,7866,17842,28340,2.268,,,,,,,,,,,,,,,,100,,100,,,100,,,,,,,,,,100,
C3,,,,,,,0.769,,32,34,0.21,28685,71407,112093,2.489,,,,,,,,,,,,,,,,100,,100,,,,100,,,,,,,,,100,
C4,,,,,,,0.808,,14,15,0.19,30370,75639,118934,2.491,,,,,,,,,,,,,,,,100,,100,,,,,100,,,,,,,,100,
C5,,,,,,,0.967,,76,78,1.9,21478,122592,200397,5.708,,,,,,,,,,,,,,,,100,,100,,,,,,100,,,,,,,100,
C6,,,,,,,0.806,,91,94,0.06,38161,81916,133542,2.147,,,,,,,,,,,,,,,,100,,100,,,,,,,100,,,,,,100,
C7,,,,,,,0.694,,82,85,7.23,8697,70939,121653,8.157,,,,,,,,,,,,,,,,100,,100,,,,,,,,100,,,,,100,
C8,,,,,,,0.513,,196,213,0.11,21694,45741,70063,2.108,,,,,,,,,,,,,,,,100,,100,,,,,,,,,100,,,,100,
C9,,,,,,,0.645,,21,23,3.11,13334,62276,99375,4.67,,,,,,,,,,,,,,,,100,,100,,100,,,,,,,,,,,100,
C10,,,,,,,0.821,,59,61,4.94,6195,87796,167675,14.17,,,,,,,,,,,,,,,100,,,100,100,,,,,,,,,,,,100,
C11,,,,,,,0.256,,36,44,0.2,6654,16593,29149,2.494,,,,,,,,,,,,,,,100,,,100,,,100,,,,,,,,,,100,
C12,,,,,,,0.773,,16,17,0.79,10805,69275,137066,6.411,,,,,,,,,,,,,,,100,,,100,,,,100,,,,,,,,,100,
C13,,,,,,,0.749,,3,4,0.55,14666,60549,106708,4.129,,,,,,,,,,,,,,,100,,,100,,,,,100,,,,,,,,100,
C14,,,,,,,0.706,,64,66,1.29,15243,82050,148293,5.383,,,,,,,,,,,,,,,100,,,100,,,,,,100,,,,,,,100,
C15,,,,,,,0.656,,77,81,2.45,9965,49542,86253,4.972,,,,,,,,,,,,,,,100,,,100,,,,,,,100,,,,,,100,
C16,,,,,,,0.601,,78,82,0.26,15710,50035,84468,3.185,,,,,,,,,,,,,,,100,,,100,,,,,,,,100,,,,,100,
C17,,,,,,,0.437,,141,151,1.62,11129,43680,72941,3.925,,,,,,,,,,,,,,,100,,,100,,,,,,,,,100,,,,100,
C18,,,,,,,0.716,,21,23,0.91,14638,59280,110243,4.05,,,,,,,,,,,,,,,100,,,100,,100,,,,,,,,,,,100,
C19,,,,,,,0.137,,26,39,2.7,2673,9960,24451,3.726,,,,,,,,,,,,,,100,,,,100,100,,,,,,,,,,,,100,
C20,,,,,,,0.139,,10,21,2.01,2679,9195,23516,3.432,,,,,,,,,,,,,,100,,,,100,,,100,,,,,,,,,,100,
C21,,,,,,,0.096,,-5,17,2.07,2132,4397,7172,2.062,,,,,,,,,,,,,,100,,,,100,,,,100,,,,,,,,,100,
C22,,,,,,,0.478,,-8,-6,2.59,5374,38933,70763,7.245,,,,,,,,,,,,,,100,,,,100,,,,,100,,,,,,,,100,
C23,,,,,,,0.133,,41,59,2.37,3160,9304,18223,2.944,,,,,,,,,,,,,,100,,,,100,,,,,,100,,,,,,,100,
C24,,,,,,,0.419,,66,72,1.11,10700,33246,54695,3.107,,,,,,,,,,,,,,100,,,,100,,,,,,,100,,,,,,100,
C25,,,,,,,0.272,,11,14,3.13,4331,30164,112361,6.965,,,,,,,,,,,,,,100,,,,100,,,,,,,,100,,,,,100,
C26,,,,,,,0.127,,92,152,0.2,3226,7592,12943,2.353,,,,,,,,,,,,,,100,,,,100,,,,,,,,,100,,,,100,
C27,,,,,,,0.259,,10,15,1.78,6251,19029,32024,3.044,,,,,,,,,,,,,,100,,,,100,,100,,,,,,,,,,,100,
C28,,,,,,,0.581,,13,15,1.38,14938,50062,82064,3.351,,,,,,,,,100,,,,,,,,,100,100,,,,,,,,,,,,100,
C29,,,,,,,0.504,,-2,0,0.67,5736,29382,53427,5.122,,,,,,,,,100,,,,,,,,,100,,,100,,,,,,,,,,100,
C30,,,,,,,0.614,,-12,-11,0.61,8337,40768,74910,4.89,,,,,,,,,100,,,,,,,,,100,,,,100,,,,,,,,,100,
C31,,,,,,,0.651,,-28,-27,2.23,10130,46638,81184,4.604,,,,,,,,,100,,,,,,,,,100,,,,,100,,,,,,,,100,
C32,,,,,,,0.643,,17,18,0.49,24928,65814,112367,2.64,,,,,,,,,100,,,,,,,,,100,,,,,,100,,,,,,,100,
C33,,,,,,,0.636,,42,45,0.23,16587,49962,86005,3.012,,,,,,,,,100,,,,,,,,,100,,,,,,,100,,,,,,100,
C34,,,,,,,0.649,,37,39,1.63,12064,55481,98127,4.599,,,,,,,,,100,,,,,,,,,100,,,,,,,,100,,,,,100,
C35,,,,,,,0.171,,80,109,0.77,4293,10234,22597,2.384,,,,,,,,,100,,,,,,,,,100,,,,,,,,,100,,,,100,
C36,,,,,,,0.503,,-12,-10,0.79,12351,37777,61972,3.059,,,,,,,,,100,,,,,,,,,100,,100,,,,,,,,,,,100,
C37,,,,,,,0.746,,10,11,6.13,6826,80550,155611,11.8,,,,,,,,,,,100,,,,,,,100,100,,,,,,,,,,,,100,
C38,,,,,,,0.673,,-3,-2,0.21,15073,68358,178310,4.535,,,,,,,,,,,100,,,,,,,100,,,100,,,,,,,,,,100,
C39,,,,,,,0.93,,-12,-11,1.37,17949,88424,163180,4.926,,,,,,,,,,,100,,,,,,,100,,,,100,,,,,,,,,100,
C40,,,,,,,0.782,,-28,-27,0.65,19663,68249,128605,3.471,,,,,,,,,,,100,,,,,,,100,,,,,100,,,,,,,,100,
C41,,,,,,,0.912,,19,20,1.36,20137,118232,254858,5.871,,,,,,,,,,,100,,,,,,,100,,,,,,100,,,,,,,100,
C42,,,,,,,0.63,,42,45,1.39,14439,50602,86850,3.505,,,,,,,,,,,100,,,,,,,100,,,,,,,100,,,,,,100,
C43,,,,,,,0.65,,42,44,0.59,15730,56961,102418,3.621,,,,,,,,,,,100,,,,,,,100,,,,,,,,100,,,,,100,
C44,,,,,,,0.238,,76,89,0.48,7199,18022,31590,2.503,,,,,,,,,,,100,,,,,,,100,,,,,,,,,100,,,,100,
C45,,,,,,,0.507,,-11,-10,0.67,12917,52715,96716,4.081,,,,,,,,,,,100,,,,,,,100,,100,,,,,,,,,,,100,
C46,,,,,,,0.619,,25,26,7.34,4953,131365,910733,26.52,,,,,,,,,,,,100,,,,,,100,100,,,,,,,,,,,,100,
C47,,,,,,,0.664,,4,5,4.82,6702,118041,747276,17.61,,,,,,,,,,,,100,,,,,,100,,,100,,,,,,,,,,100,
C48,,,,,,,0.607,,-8,-7,4.2,5836,86128,443846,14.76,,,,,,,,,,,,100,,,,,,100,,,,100,,,,,,,,,100,
C49,,,,,,,0.615,,-24,-23,1.64,13481,68476,218556,5.079,,,,,,,,,,,,100,,,,,,100,,,,,100,,,,,,,,100,
C50,,,,,,,0.183,,24,31,1.61,4781,17268,50668,3.612,,,,,,,,,,,,100,,,,,,100,,,,,,100,,,,,,,100,
C51,,,,,,,0.357,,36,40,0.73,7736,31057,90572,4.015,,,,,,,,,,,,100,,,,,,100,,,,,,,100,,,,,,100,
C52,,,,,,,0.287,,38,44,1.32,6250,22656,52467,3.625,,,,,,,,,,,,100,,,,,,100,,,,,,,,100,,,,,100,
C53,,,,,,,0.078,,50,130,3.58,999,1708,2772,1.71,,,,,,,,,,,,100,,,,,,100,,,,,,,,,100,,,,100,
C54,,,,,,,1.6,,-3,-3,14.27,2527,195574,1286138,1757,,,,,,,,,,,,100,,,,,,100,,100,,,,,,,,,,,100,
C55,,,,,,,0.67,,-45,-44,1.29,10283,47245,82050,4.594,,,,,,100,,,,,,,,,,,,100,100,,,,,,,,,,,,100,
C56,,,,,,,0.504,,-57,-56,0.07,10406,30209,52615,2.903,,,,,,100,,,,,,,,,,,,100,,,100,,,,,,,,,,100,
C57,,,,,,,0.789,,-59,-59,0.52,15715,56039,101794,3.566,,,,,,100,,,,,,,,,,,,100,,,,100,,,,,,,,,100,
C58,,,,,,,0.8,,-60,-60,1.92,16267,55003,96627,3.381,,,,,,100,,,,,,,,,,,,100,,,,,100,,,,,,,,100,
C59,,,,,,,0.584,,-44,-43,0.73,13621,45044,76035,3.307,,,,,,100,,,,,,,,,,,,100,,,,,,100,,,,,,,100,
C60,,,,,,,0.587,,-21,-20,0.14,14409,38227,65339,2.653,,,,,,100,,,,,,,,,,,,100,,,,,,,100,,,,,,100,
C61,,,,,,,0.538,,-23,-22,0.37,12197,35480,59782,2.909,,,,,,100,,,,,,,,,,,,100,,,,,,,,100,,,,,100,
C62,,,,,,,0.357,,-8,-6,0.3,10700,29199,52228,2.729,,,,,,100,,,,,,,,,,,,100,,,,,,,,,100,,,,100,
C63,,,,,,,0.548,,-46,-45,0.43,12837,41046,72106,3.197,,,,,,100,,,,,,,,,,,,100,,100,,,,,,,,,,,,
