Simple_tg_r2,Simple_tg_mae,Simple_iv_r2,Simple_iv_mae,OH_tg_r2,OH_tg_mae,OH_iv_r2,OH_iv_mae,OH+Mw_tg_r2,OH+Mw_tg_mae,OH+Mw_iv_r2,OH+Mw_iv_mae,CM_tg_r2,CM_tg_mae,CM_iv_r2,CM_iv_mae,BOB_tg_r2,BOB_tg_mae,BOB_iv_r2,BOB_iv_mae,PI (20)_tg_r2,PI (20)_tg_mae,PI (20)_iv_r2,PI (20)_iv_mae,PI (50)_tg_r2,PI (50)_tg_mae,PI (50)_iv_r2,PI (50)_iv_mae,PI (100)_tg_r2,PI (100)_tg_mae,PI (100)_iv_r2,PI (100)_iv_mae,SOAP_tg_r2,SOAP_tg_mae,SOAP_iv_r2,SOAP_iv_mae,MBTR_tg_r2,MBTR_tg_mae,MBTR_iv_r2,MBTR_iv_mae
-0.9882,36.9286,-0.2072,0.0928,0.7945,10.7044,0.1973,0.0797,0.8174,10.3764,-0.0603,0.084,0.8985,7.3441,0.1058,0.0826,0.8843,7.4222,0.1605,0.0821,0.8911,7.341,0.2263,0.0753,0.8897,8.0804,0.255,0.0769,0.8706,8.7907,0.2209,0.0772,0.8456,8.7665,0.2158,0.0723,0.9074,7.5424,0.3188,0.0714
-1.0963,38.0885,-0.2017,0.0929,0.8062,10.1354,0.2022,0.0818,0.8514,9.8481,-0.0254,0.0826,0.8799,7.6128,0.1233,0.0837,0.8546,7.7657,0.0824,0.0826,0.8738,7.1402,0.2113,0.0759,0.8965,8.2777,0.2964,0.0749,0.8701,8.3279,0.1851,0.0786,0.8974,7.154,0.2887,0.0722,0.9055,7.2303,0.3373,0.0713
-1.1017,37.6638,-0.24,0.0958,0.8162,10.8812,0.1915,0.0793,0.8166,10.2264,0.0072,0.0837,0.8829,7.4916,0.1934,0.0806,0.8753,7.4949,0.171,0.0814,0.8866,7.7513,0.2224,0.0745,0.9027,7.8919,0.22899999999999998,0.0752,0.8668,8.2335,0.2236,0.0776,0.8649,8.001,0.2428,0.0718,0.8863,7.6706,0.3179,0.0738
-0.866,37.2863,-0.2354,0.0926,0.8255,10.7806,0.1734,0.0822,0.8296,10.5123,-0.035,0.0831,0.8761,7.7719,0.1735,0.0825,0.8891,7.4123,0.08,0.0843,0.9027,7.3141,0.2851,0.0742,0.8996,8.0912,0.2746,0.07400000000000001,0.8386,8.5997,0.2593,0.0761,0.8534,8.3297,0.196,0.0726,0.8772,7.7322,0.2848,0.0742
-0.9902,37.4515,-0.3982,0.0956,0.7954,10.9396,0.1988,0.0806,0.8382,10.1491,0.0069,0.0822,0.8929,7.4319,0.2079,0.0812,0.8894,7.3566,0.2307,0.0798,0.8507,7.9613,0.2395,0.0747,0.8861,8.287,0.1833,0.0781,0.8991,7.7275,0.2212,0.0766,0.7992,9.2194,0.2923,0.0737,0.887,8.0581,0.2437,0.0734
-0.9925,38.1501,-0.3063,0.0933,0.8079,11.0089,0.2029,0.08,0.8089,10.6254,-0.1108,0.0836,0.8842,7.5509,0.0082,0.0836,0.8809,7.3767,0.0999,0.084,0.8864,7.8122,0.2295,0.0755,0.8769,8.099,0.2684,0.0762,0.8653,8.2358,0.2216,0.0785,0.8492,8.5299,0.2804,0.0719,0.9128,7.0495,0.3069,0.0726
-1.0744,37.8765,-0.1899,0.0929,0.8043,10.7709,0.1892,0.0801,0.8265,10.1681,-0.0317,0.0822,0.8507,7.3352,0.2143,0.0798,0.8928,7.6979,0.048,0.0861,0.912,7.0749,0.3178,0.0729,0.8666,9.2191,0.2684,0.0764,0.8678,8.3656,0.2285,0.0761,0.8834,7.902,0.3211,0.0714,0.8846,7.2708,0.3117,0.0731
-0.9645,37.7644,-0.1758,0.0939,0.8199,10.9179,0.2175,0.0803,0.8209,10.3372,0.0031,0.0824,0.862,7.6553,0.1788,0.0812,0.8587,7.5353,0.0722,0.0852,0.8674,7.831,0.2454,0.0749,0.892,8.2708,0.2046,0.0768,0.8774,8.7787,0.2103,0.0763,0.905,7.2127,0.3112,0.07,0.8829,7.7989,0.2718,0.07400000000000001
-1.1006,38.5493,-0.2613,0.0933,0.8426,10.6434,0.1652,0.0821,0.8145,10.3186,-0.0387,0.0831,0.8949,7.3879,0.1738,0.0808,0.9046,7.1685,0.1589,0.0818,0.8754,7.7484,0.3024,0.0736,0.8828,8.167,0.2356,0.075,0.8882,8.0697,0.2691,0.0747,0.8692,7.9984,0.2298,0.0722,0.893,7.5996,0.3133,0.0729
-0.9704,37.2829,-0.3064,0.0934,0.8189,10.9703,0.217,0.0798,0.8456,10.2279,-0.0018,0.0816,0.8719,7.7898,0.1803,0.0809,0.9013,7.4994,0.1594,0.0827,0.8782,7.6343,0.1672,0.0768,0.86,9.1544,0.2746,0.0745,0.8757,8.5591,0.259,0.0752,0.8983,7.318,0.3177,0.0713,0.8888,8.0505,0.2759,0.0733
